PerformanceID,EmployeeID,Year,Rating,WorkLifeBalance,PromotionLast2Years
1,1,2019,3,4,0
2,2,2022,3,4,0
3,3,2021,4,4,0
4,4,2021,5,4,0
5,5,2018,3,3,0
6,6,2018,5,4,1
7,7,2023,4,3,0
8,8,2019,4,1,0
9,9,2023,3,2,0
10,10,2018,5,2,0
11,11,2020,4,3,0
12,12,2019,3,3,0
13,13,2020,4,2,0
14,14,2023,2,4,0
15,15,2018,2,3,0
16,16,2019,3,4,0
17,17,2023,4,3,0
18,18,2021,3,3,0
19,19,2023,1,1,0
20,20,2022,3,1,0
21,21,2021,3,2,0
22,22,2020,2,1,1
23,23,2021,2,1,0
24,24,2023,4,2,0
25,25,2021,3,4,0
26,26,2022,3,1,1
27,27,2023,4,4,0
28,28,2022,5,2,0
29,29,2021,4,3,0
30,30,2022,2,4,0
31,31,2021,2,2,0
32,32,2019,3,4,1
33,33,2021,2,2,1
34,34,2018,4,2,0
35,35,2022,3,3,0
36,36,2022,4,4,1
37,37,2020,4,3,0
38,38,2020,3,3,0
39,39,2018,5,4,0
40,40,2022,2,4,0
41,41,2022,1,2,0
42,42,2020,1,4,1
43,43,2020,1,2,0
44,44,2021,2,2,0
45,45,2023,5,2,0
46,46,2022,4,2,0
47,47,2022,3,2,0
48,48,2021,5,2,0
49,49,2022,1,4,0
50,50,2018,2,4,0
51,51,2020,2,1,0
52,52,2020,3,4,0
53,53,2023,4,3,0
54,54,2020,5,1,0
55,55,2019,5,4,0
56,56,2018,5,3,0
57,57,2018,4,4,0
58,58,2021,4,2,0
59,59,2019,4,1,0
60,60,2022,3,2,0
61,61,2023,2,1,0
62,62,2018,1,1,0
63,63,2019,4,2,0
64,64,2019,2,1,0
65,65,2018,4,1,0
66,66,2021,1,4,0
67,67,2019,4,3,0
68,68,2020,2,2,0
69,69,2019,3,4,0
70,70,2022,1,4,0
71,71,2018,2,2,0
72,72,2022,5,1,1
73,73,2021,5,2,0
74,74,2023,5,3,1
75,75,2020,3,3,0
76,76,2018,4,2,1
77,77,2019,4,4,0
78,78,2020,4,2,0
79,79,2019,3,3,0
80,80,2021,5,2,0
81,81,2023,4,1,0
82,82,2018,3,2,0
83,83,2021,3,4,1
84,84,2021,2,1,0
85,85,2023,4,3,0
86,86,2021,5,2,0
87,87,2021,1,4,1
88,88,2019,3,4,0
89,89,2022,2,3,0
90,90,2019,1,2,0
91,91,2023,3,4,0
92,92,2020,2,1,1
93,93,2023,4,2,0
94,94,2023,2,3,0
95,95,2023,3,1,0
96,96,2023,4,2,0
97,97,2021,5,4,0
98,98,2023,2,3,0
99,99,2020,1,3,0
100,100,2023,4,2,0
101,101,2019,4,3,0
102,102,2021,5,1,0
103,103,2019,2,2,1
104,104,2021,1,1,1
105,105,2019,5,3,0
106,106,2018,2,3,0
107,107,2022,1,3,0
108,108,2022,1,1,0
109,109,2021,3,3,0
110,110,2018,1,2,0
111,111,2020,2,4,0
112,112,2018,5,2,0
113,113,2021,5,4,0
114,114,2018,3,3,0
115,115,2020,2,2,0
116,116,2021,1,1,0
117,117,2022,3,4,0
118,118,2023,4,1,0
119,119,2018,2,4,0
120,120,2022,3,3,0
121,121,2022,5,2,0
122,122,2019,3,4,0
123,123,2020,4,2,0
124,124,2023,2,4,1
125,125,2018,3,4,0
126,126,2022,1,3,0
127,127,2022,2,4,0
128,128,2020,3,1,0
129,129,2023,3,4,1
130,130,2023,2,4,0
131,131,2022,5,4,0
132,132,2022,1,3,0
133,133,2022,2,2,0
134,134,2022,1,2,1
135,135,2019,1,3,0
136,136,2019,2,1,0
137,137,2023,3,1,1
138,138,2021,5,3,0
139,139,2018,1,2,0
140,140,2020,1,1,0
141,141,2021,3,3,0
142,142,2019,2,2,0
143,143,2019,5,1,0
144,144,2019,1,1,0
145,145,2021,1,3,1
146,146,2019,2,2,0
147,147,2021,3,1,0
148,148,2019,4,3,0
149,149,2022,3,1,0
150,150,2022,1,2,0
151,151,2018,1,4,1
152,152,2019,5,1,0
153,153,2018,3,2,1
154,154,2021,4,1,0
155,155,2018,5,4,0
156,156,2019,4,4,0
157,157,2021,5,1,0
158,158,2021,3,3,0
159,159,2022,1,1,0
160,160,2021,4,2,0
161,161,2021,3,3,1
162,162,2018,4,2,0
163,163,2023,3,2,0
164,164,2021,5,3,0
165,165,2020,3,4,0
166,166,2023,5,2,0
167,167,2022,1,1,0
168,168,2022,5,4,0
169,169,2021,2,4,0
170,170,2018,1,3,1
171,171,2023,3,1,1
172,172,2022,3,1,0
173,173,2022,2,4,0
174,174,2020,3,2,0
175,175,2021,1,2,0
176,176,2023,1,1,0
177,177,2022,5,4,0
178,178,2022,4,4,0
179,179,2022,3,4,0
180,180,2022,2,3,0
181,181,2018,1,1,0
182,182,2019,1,1,0
183,183,2020,1,2,0
184,184,2018,4,2,0
185,185,2020,4,1,0
186,186,2022,3,1,1
187,187,2020,2,2,0
188,188,2021,4,1,0
189,189,2021,5,2,1
190,190,2019,4,1,0
191,191,2019,1,3,1
192,192,2020,2,3,0
193,193,2018,3,4,0
194,194,2018,4,1,0
195,195,2022,1,2,0
196,196,2018,5,1,0
197,197,2019,5,1,0
198,198,2018,3,4,0
199,199,2022,3,2,0
200,200,2021,4,1,0
201,201,2018,3,2,0
202,202,2018,1,1,0
203,203,2019,1,4,0
204,204,2020,1,2,0
205,205,2021,4,1,0
206,206,2020,4,3,0
207,207,2022,3,2,0
208,208,2022,4,4,0
209,209,2020,1,3,0
210,210,2019,2,2,0
211,211,2023,1,2,0
212,212,2019,2,2,0
213,213,2023,3,2,0
214,214,2023,5,1,0
215,215,2019,4,1,0
216,216,2023,4,2,0
217,217,2023,1,4,0
218,218,2023,1,1,0
219,219,2021,2,2,1
220,220,2022,4,2,0
221,221,2023,3,4,0
222,222,2022,1,4,0
223,223,2022,4,4,1
224,224,2021,5,3,0
225,225,2022,2,2,0
226,226,2020,1,4,0
227,227,2018,1,2,0
228,228,2021,3,1,0
229,229,2018,1,2,0
230,230,2020,4,2,0
231,231,2019,4,3,0
232,232,2019,4,1,0
233,233,2023,5,1,0
234,234,2019,5,3,0
235,235,2021,1,4,0
236,236,2019,5,4,1
237,237,2021,5,2,0
238,238,2021,3,3,0
239,239,2018,5,4,1
240,240,2019,2,1,0
241,241,2022,2,3,0
242,242,2019,2,4,0
243,243,2019,1,1,1
244,244,2019,4,3,0
245,245,2023,3,2,0
246,246,2022,1,2,0
247,247,2022,4,1,1
248,248,2021,3,4,0
249,249,2022,3,4,1
250,250,2021,3,3,0
251,251,2018,2,1,0
252,252,2021,2,4,0
253,253,2019,2,2,0
254,254,2020,3,1,0
255,255,2020,3,2,1
256,256,2023,2,1,0
257,257,2019,3,3,1
258,258,2021,2,4,0
259,259,2019,2,4,0
260,260,2023,2,4,0
261,261,2022,4,2,0
262,262,2021,3,4,0
263,263,2019,1,1,0
264,264,2022,2,2,0
265,265,2023,1,3,0
266,266,2022,4,2,0
267,267,2021,3,3,1
268,268,2023,2,2,0
269,269,2023,2,4,0
270,270,2023,2,3,0
271,271,2018,1,4,0
272,272,2023,4,2,0
273,273,2018,3,3,1
274,274,2022,4,1,0
275,275,2018,2,1,0
276,276,2022,4,2,0
277,277,2018,1,3,0
278,278,2022,5,1,0
279,279,2022,5,4,0
280,280,2023,3,4,0
281,281,2023,3,2,1
282,282,2022,4,4,0
283,283,2023,3,4,0
284,284,2022,1,4,0
285,285,2023,2,1,0
286,286,2020,2,3,0
287,287,2018,4,2,0
288,288,2022,2,3,1
289,289,2019,4,3,0
290,290,2023,3,3,0
291,291,2023,3,1,0
292,292,2021,1,4,0
293,293,2019,2,2,1
294,294,2019,1,3,1
295,295,2020,5,4,1
296,296,2018,1,1,0
297,297,2020,4,3,0
298,298,2018,4,4,0
299,299,2022,1,1,0
300,300,2020,3,4,0
301,301,2021,5,2,1
302,302,2018,1,4,0
303,303,2020,3,4,1
304,304,2021,1,2,1
305,305,2019,2,2,1
306,306,2023,4,4,0
307,307,2022,2,2,0
308,308,2022,2,4,0
309,309,2019,5,3,0
310,310,2020,3,4,0
311,311,2023,4,1,0
312,312,2019,2,2,0
313,313,2021,4,3,0
314,314,2023,3,2,0
315,315,2018,1,2,1
316,316,2020,2,2,0
317,317,2023,3,1,0
318,318,2018,4,1,0
319,319,2019,3,4,0
320,320,2022,1,1,0
321,321,2023,3,2,0
322,322,2023,4,3,1
323,323,2018,2,3,0
324,324,2018,2,3,0
325,325,2022,5,2,0
326,326,2018,4,1,0
327,327,2018,5,3,0
328,328,2023,5,2,0
329,329,2022,1,2,1
330,330,2022,4,3,0
331,331,2023,2,3,0
332,332,2019,4,4,0
333,333,2019,1,4,0
334,334,2023,4,2,0
335,335,2018,4,4,0
336,336,2020,5,4,0
337,337,2019,4,3,0
338,338,2019,5,4,0
339,339,2023,5,2,0
340,340,2023,3,3,0
341,341,2020,1,4,0
342,342,2020,5,4,0
343,343,2022,4,4,0
344,344,2023,5,1,0
345,345,2019,5,4,0
346,346,2021,5,4,0
347,347,2021,2,2,0
348,348,2018,2,4,0
349,349,2019,2,1,1
350,350,2021,2,3,0
351,351,2019,3,4,0
352,352,2023,5,4,1
353,353,2019,3,2,1
354,354,2021,4,4,0
355,355,2019,1,4,0
356,356,2020,3,4,0
357,357,2018,2,4,0
358,358,2022,2,3,0
359,359,2021,4,2,1
360,360,2023,5,3,0
361,361,2022,1,1,0
362,362,2018,3,4,0
363,363,2020,5,1,0
364,364,2020,5,3,0
365,365,2020,3,1,0
366,366,2020,3,4,0
367,367,2021,3,1,0
368,368,2021,3,3,1
369,369,2019,2,4,1
370,370,2023,5,2,0
371,371,2019,5,3,1
372,372,2023,2,4,0
373,373,2018,5,2,0
374,374,2019,3,1,0
375,375,2018,1,1,0
376,376,2018,5,1,0
377,377,2018,1,4,0
378,378,2020,1,1,0
379,379,2022,2,1,0
380,380,2022,4,2,0
381,381,2021,5,2,0
382,382,2018,2,2,0
383,383,2020,2,4,1
384,384,2019,1,3,0
385,385,2019,5,1,0
386,386,2021,2,1,0
387,387,2021,3,4,0
388,388,2018,2,1,0
389,389,2018,3,4,0
390,390,2019,4,4,0
391,391,2019,3,4,0
392,392,2019,3,3,0
393,393,2019,1,4,0
394,394,2022,2,3,0
395,395,2018,4,3,0
396,396,2018,2,1,0
397,397,2019,3,2,0
398,398,2020,3,3,1
399,399,2019,2,3,0
400,400,2023,4,2,0
401,401,2021,4,3,0
402,402,2023,1,2,0
403,403,2020,3,1,1
404,404,2021,3,4,0
405,405,2020,1,2,0
406,406,2021,2,4,1
407,407,2019,3,2,1
408,408,2019,2,4,0
409,409,2020,4,1,0
410,410,2021,5,3,0
411,411,2022,1,1,0
412,412,2020,3,3,1
413,413,2020,1,4,0
414,414,2023,4,4,0
415,415,2018,4,3,0
416,416,2020,4,2,0
417,417,2022,4,1,0
418,418,2019,5,2,0
419,419,2021,2,4,0
420,420,2018,2,1,0
421,421,2021,5,1,1
422,422,2019,2,2,0
423,423,2020,4,3,0
424,424,2023,2,3,0
425,425,2022,1,1,0
426,426,2018,2,3,0
427,427,2022,1,4,0
428,428,2022,3,2,0
429,429,2022,1,2,0
430,430,2022,1,2,0
431,431,2019,4,1,0
432,432,2022,4,1,1
433,433,2023,4,3,0
434,434,2022,1,2,1
435,435,2019,5,4,0
436,436,2021,4,4,0
437,437,2019,4,2,0
438,438,2023,1,1,0
439,439,2023,3,1,0
440,440,2020,3,1,0
441,441,2019,2,4,0
442,442,2021,3,2,0
443,443,2020,4,4,0
444,444,2020,5,2,0
445,445,2018,2,4,0
446,446,2022,5,4,0
447,447,2020,5,3,0
448,448,2020,4,4,0
449,449,2023,1,2,0
450,450,2021,1,4,0
451,451,2020,1,3,0
452,452,2021,3,3,0
453,453,2022,1,2,0
454,454,2023,4,3,0
455,455,2018,3,3,1
456,456,2018,1,1,0
457,457,2022,5,2,0
458,458,2022,4,3,0
459,459,2023,4,3,0
460,460,2023,2,3,0
461,461,2019,4,2,0
462,462,2020,5,1,0
463,463,2020,4,4,0
464,464,2020,2,1,0
465,465,2021,4,2,0
466,466,2019,4,2,0
467,467,2020,2,2,0
468,468,2021,4,4,0
469,469,2021,3,2,0
470,470,2018,4,1,0
471,471,2021,1,3,0
472,472,2022,1,3,0
473,473,2023,3,2,0
474,474,2021,4,2,0
475,475,2022,5,4,0
476,476,2022,4,3,0
477,477,2018,1,4,0
478,478,2018,2,4,0
479,479,2021,3,4,0
480,480,2018,2,4,0
481,481,2018,5,1,0
482,482,2023,4,2,0
483,483,2020,5,2,0
484,484,2021,2,4,0
485,485,2021,4,4,0
486,486,2021,5,1,0
487,487,2018,1,4,0
488,488,2023,1,1,0
489,489,2018,3,1,0
490,490,2022,1,4,0
491,491,2019,1,2,0
492,492,2019,2,1,0
493,493,2019,1,2,0
494,494,2020,1,2,0
495,495,2018,2,1,1
496,496,2022,1,3,0
497,497,2022,1,1,0
498,498,2019,3,3,0
499,499,2023,1,1,0
500,500,2020,1,1,0
501,501,2020,3,2,0
502,502,2019,2,2,0
503,503,2019,1,4,0
504,504,2018,5,2,0
505,505,2023,2,2,0
506,506,2020,2,2,0
507,507,2022,1,2,0
508,508,2019,3,4,0
509,509,2018,2,2,0
510,510,2022,3,3,0
511,511,2020,5,3,0
512,512,2019,3,4,1
513,513,2023,4,2,0
514,514,2019,3,3,0
515,515,2023,2,1,0
516,516,2018,3,3,1
517,517,2018,3,2,0
518,518,2020,4,3,0
519,519,2023,4,1,1
520,520,2019,1,3,0
521,521,2018,2,2,0
522,522,2019,1,1,1
523,523,2020,4,4,0
524,524,2023,3,1,0
525,525,2019,4,3,0
526,526,2022,5,4,0
527,527,2019,3,1,0
528,528,2021,1,1,0
529,529,2021,3,1,1
530,530,2020,5,2,0
531,531,2020,4,4,0
532,532,2020,2,4,0
533,533,2022,2,1,0
534,534,2023,2,4,0
535,535,2022,4,3,1
536,536,2019,2,3,0
537,537,2018,5,1,0
538,538,2023,4,3,0
539,539,2021,2,1,0
540,540,2021,1,3,0
541,541,2021,4,1,0
542,542,2019,4,1,0
543,543,2019,3,4,1
544,544,2020,2,4,0
545,545,2018,1,1,0
546,546,2020,5,4,1
547,547,2019,4,4,0
548,548,2022,5,2,0
549,549,2020,5,3,1
550,550,2023,5,4,0
551,551,2019,3,1,0
552,552,2019,5,2,0
553,553,2022,2,2,0
554,554,2022,2,4,0
555,555,2022,1,1,0
556,556,2018,1,1,0
557,557,2023,5,1,0
558,558,2019,5,1,0
559,559,2022,3,1,0
560,560,2018,5,3,0
561,561,2021,5,1,0
562,562,2023,5,1,0
563,563,2021,4,3,0
564,564,2021,4,4,0
565,565,2019,3,2,0
566,566,2018,3,3,0
567,567,2018,2,2,1
568,568,2021,3,2,0
569,569,2023,2,3,0
570,570,2020,5,1,0
571,571,2021,3,2,0
572,572,2019,3,1,0
573,573,2021,3,4,0
574,574,2023,2,3,0
575,575,2023,2,2,0
576,576,2021,1,1,0
577,577,2018,2,2,1
578,578,2021,2,4,0
579,579,2022,4,4,0
580,580,2022,3,2,1
581,581,2020,2,3,0
582,582,2019,3,4,0
583,583,2019,3,1,1
584,584,2018,4,4,0
585,585,2019,3,1,1
586,586,2020,2,2,0
587,587,2022,3,1,0
588,588,2018,1,2,0
589,589,2023,1,4,0
590,590,2022,4,3,0
591,591,2020,2,4,0
592,592,2018,4,4,0
593,593,2021,1,4,0
594,594,2019,2,4,0
595,595,2020,3,3,0
596,596,2018,2,4,0
597,597,2022,5,1,0
598,598,2018,2,3,1
599,599,2021,3,3,0
600,600,2020,5,1,0
601,601,2018,4,2,0
602,602,2023,2,4,0
603,603,2020,4,3,0
604,604,2020,2,4,0
605,605,2022,1,4,1
606,606,2019,1,1,0
607,607,2023,3,1,1
608,608,2021,1,1,0
609,609,2018,5,4,0
610,610,2019,5,3,0
611,611,2022,2,3,0
612,612,2019,4,2,0
613,613,2020,5,4,0
614,614,2020,2,2,1
615,615,2021,4,2,0
616,616,2023,1,2,0
617,617,2018,2,2,0
618,618,2018,4,2,0
619,619,2022,3,4,0
620,620,2021,3,1,0
621,621,2018,5,2,0
622,622,2023,4,3,0
623,623,2020,3,4,1
624,624,2021,5,2,0
625,625,2019,2,3,0
626,626,2021,2,2,0
627,627,2021,4,1,0
628,628,2023,4,4,0
629,629,2023,4,1,0
630,630,2018,4,3,0
631,631,2022,3,2,0
632,632,2022,3,1,0
633,633,2023,5,1,0
634,634,2018,3,2,1
635,635,2018,2,4,0
636,636,2018,5,3,0
637,637,2023,3,4,0
638,638,2022,4,3,1
639,639,2018,3,3,0
640,640,2023,1,1,0
641,641,2019,5,2,0
642,642,2019,3,4,0
643,643,2020,3,1,1
644,644,2019,2,1,1
645,645,2021,4,1,1
646,646,2020,4,4,1
647,647,2019,2,1,1
648,648,2021,2,2,0
649,649,2019,1,1,0
650,650,2023,5,1,0
651,651,2021,4,3,1
652,652,2018,2,1,0
653,653,2023,2,4,0
654,654,2021,5,4,0
655,655,2023,2,2,0
656,656,2018,1,4,0
657,657,2021,5,4,0
658,658,2021,1,1,0
659,659,2023,3,2,0
660,660,2019,4,4,0
661,661,2021,2,2,0
662,662,2019,5,2,1
663,663,2021,1,3,0
664,664,2022,4,3,0
665,665,2020,4,1,0
666,666,2019,2,4,0
667,667,2019,4,1,0
668,668,2018,2,1,0
669,669,2022,3,2,0
670,670,2018,2,2,0
671,671,2022,1,2,0
672,672,2022,4,1,0
673,673,2023,4,4,0
674,674,2023,4,1,1
675,675,2023,2,1,0
676,676,2021,5,1,0
677,677,2018,2,3,0
678,678,2020,1,3,0
679,679,2022,2,4,0
680,680,2022,4,3,0
681,681,2019,3,1,0
682,682,2021,1,3,0
683,683,2020,3,3,0
684,684,2023,1,1,0
685,685,2022,1,4,0
686,686,2019,4,3,1
687,687,2018,2,1,0
688,688,2022,4,1,0
689,689,2019,4,1,0
690,690,2018,4,2,0
691,691,2021,3,1,0
692,692,2023,1,3,0
693,693,2018,5,3,0
694,694,2022,2,1,0
695,695,2020,4,2,0
696,696,2018,1,2,0
697,697,2020,2,2,0
698,698,2020,5,3,0
699,699,2018,5,2,0
700,700,2021,4,4,0
701,701,2018,5,4,0
702,702,2019,5,2,0
703,703,2023,2,4,0
704,704,2020,2,1,0
705,705,2023,4,2,0
706,706,2022,1,2,1
707,707,2020,4,2,0
708,708,2022,3,1,0
709,709,2019,5,1,0
710,710,2019,1,2,0
711,711,2023,2,3,0
712,712,2019,3,3,0
713,713,2018,3,4,1
714,714,2020,5,1,1
715,715,2022,2,4,0
716,716,2023,1,4,0
717,717,2023,2,2,0
718,718,2019,5,3,0
719,719,2019,3,4,0
720,720,2022,5,2,0
721,721,2020,4,1,0
722,722,2020,3,4,1
723,723,2023,5,3,0
724,724,2022,1,1,0
725,725,2023,1,2,0
726,726,2021,1,1,0
727,727,2020,4,4,1
728,728,2022,2,1,1
729,729,2022,1,1,0
730,730,2023,4,1,0
731,731,2019,1,3,0
732,732,2022,4,4,0
733,733,2023,1,2,0
734,734,2018,2,3,0
735,735,2019,5,4,0
736,736,2019,1,2,0
737,737,2020,5,2,0
738,738,2021,1,2,0
739,739,2020,2,4,0
740,740,2018,5,2,0
741,741,2023,4,2,0
742,742,2019,1,3,0
743,743,2019,1,2,0
744,744,2022,4,1,1
745,745,2021,2,3,1
746,746,2021,3,3,0
747,747,2022,1,4,0
748,748,2018,4,2,0
749,749,2021,3,1,0
750,750,2019,1,1,0
751,751,2018,5,2,0
752,752,2020,4,2,0
753,753,2020,5,4,0
754,754,2018,2,1,0
755,755,2019,3,3,1
756,756,2020,4,4,0
757,757,2023,1,4,1
758,758,2019,1,3,0
759,759,2022,3,4,0
760,760,2021,5,2,0
761,761,2018,5,3,0
762,762,2021,4,3,0
763,763,2022,4,1,0
764,764,2020,5,3,0
765,765,2023,4,4,0
766,766,2019,5,1,0
767,767,2019,3,4,0
768,768,2022,4,2,0
769,769,2018,5,2,1
770,770,2021,4,1,0
771,771,2023,1,1,0
772,772,2020,1,4,0
773,773,2018,2,2,1
774,774,2023,5,1,0
775,775,2023,2,2,0
776,776,2022,5,2,0
777,777,2022,4,2,0
778,778,2019,5,4,0
779,779,2020,1,4,0
780,780,2018,4,2,1
781,781,2019,1,2,0
782,782,2020,4,2,1
783,783,2021,5,3,1
784,784,2021,5,3,0
785,785,2019,1,4,0
786,786,2018,3,2,0
787,787,2020,5,3,1
788,788,2021,3,1,0
789,789,2021,4,1,0
790,790,2018,3,2,0
791,791,2019,1,3,1
792,792,2022,2,1,0
793,793,2023,2,4,0
794,794,2020,1,1,0
795,795,2021,2,4,0
796,796,2023,1,1,0
797,797,2023,5,1,1
798,798,2022,3,3,0
799,799,2023,2,1,0
800,800,2018,5,1,0
801,801,2019,2,4,0
802,802,2020,4,4,0
803,803,2018,1,1,0
804,804,2019,1,2,0
805,805,2018,5,1,0
806,806,2021,4,1,0
807,807,2021,3,3,0
808,808,2022,4,1,0
809,809,2018,4,1,0
810,810,2023,3,4,0
811,811,2021,3,4,0
812,812,2019,4,4,0
813,813,2022,2,4,0
814,814,2023,2,1,0
815,815,2020,4,2,0
816,816,2018,2,3,0
817,817,2021,3,3,0
818,818,2023,3,2,0
819,819,2019,2,2,0
820,820,2018,3,3,0
821,821,2019,1,1,0
822,822,2022,3,3,0
823,823,2021,4,2,0
824,824,2021,5,1,0
825,825,2022,2,3,0
826,826,2019,2,1,0
827,827,2018,3,1,1
828,828,2019,3,2,0
829,829,2018,5,4,0
830,830,2023,5,3,0
831,831,2022,4,2,0
832,832,2020,1,3,0
833,833,2018,4,4,0
834,834,2021,2,4,0
835,835,2023,3,4,0
836,836,2021,4,4,0
837,837,2023,3,3,0
838,838,2021,3,1,0
839,839,2019,4,1,0
840,840,2019,4,4,1
841,841,2019,5,4,0
842,842,2023,1,1,1
843,843,2023,5,2,0
844,844,2021,1,4,0
845,845,2018,4,1,0
846,846,2023,1,2,0
847,847,2021,2,1,0
848,848,2018,5,2,0
849,849,2019,5,3,1
850,850,2023,5,2,0
851,851,2020,3,4,0
852,852,2019,3,2,0
853,853,2022,4,2,0
854,854,2018,4,4,0
855,855,2020,3,3,0
856,856,2019,5,2,1
857,857,2023,3,3,0
858,858,2020,1,1,0
859,859,2021,5,1,0
860,860,2018,3,4,1
861,861,2022,4,3,0
862,862,2021,3,4,1
863,863,2020,2,4,0
864,864,2019,3,2,0
865,865,2018,5,1,0
866,866,2023,3,4,0
867,867,2022,4,2,0
868,868,2019,1,2,0
869,869,2022,2,3,0
870,870,2023,5,1,0
871,871,2018,4,3,0
872,872,2020,2,3,1
873,873,2022,3,4,0
874,874,2018,2,3,0
875,875,2022,1,4,0
876,876,2019,2,3,0
877,877,2022,2,2,0
878,878,2019,3,1,0
879,879,2019,3,1,0
880,880,2018,5,1,0
881,881,2021,3,2,0
882,882,2023,2,2,0
883,883,2022,1,3,0
884,884,2020,3,3,1
885,885,2019,5,3,0
886,886,2021,5,3,0
887,887,2019,2,1,0
888,888,2021,3,3,0
889,889,2021,3,2,0
890,890,2020,5,2,0
891,891,2021,3,2,1
892,892,2020,2,4,0
893,893,2018,1,4,1
894,894,2019,2,4,0
895,895,2020,3,3,0
896,896,2023,2,1,0
897,897,2019,4,1,0
898,898,2023,4,3,0
899,899,2022,3,3,1
900,900,2023,3,4,1
901,901,2018,1,2,1
902,902,2022,2,2,0
903,903,2022,1,4,1
904,904,2021,3,4,0
905,905,2023,3,1,1
906,906,2021,5,4,0
907,907,2023,1,2,0
908,908,2022,3,2,1
909,909,2021,4,3,1
910,910,2019,5,1,0
911,911,2023,2,3,0
912,912,2023,5,1,0
913,913,2021,2,3,0
914,914,2023,4,1,0
915,915,2022,2,4,0
916,916,2021,1,2,0
917,917,2021,2,4,0
918,918,2020,2,1,0
919,919,2020,5,1,0
920,920,2022,4,3,0
921,921,2019,2,1,0
922,922,2023,1,4,0
923,923,2018,5,1,0
924,924,2023,4,1,0
925,925,2018,4,3,0
926,926,2022,3,1,0
927,927,2019,1,3,0
928,928,2019,5,2,1
929,929,2019,5,3,0
930,930,2020,1,1,0
931,931,2022,4,2,0
932,932,2018,2,1,0
933,933,2019,1,3,0
934,934,2022,5,4,0
935,935,2023,1,2,0
936,936,2018,4,4,0
937,937,2020,3,4,0
938,938,2021,3,2,0
939,939,2018,2,4,0
940,940,2023,2,4,1
941,941,2018,4,4,0
942,942,2018,2,4,0
943,943,2021,3,2,0
944,944,2019,4,1,1
945,945,2023,4,4,0
946,946,2021,4,2,0
947,947,2018,1,2,0
948,948,2023,2,2,0
949,949,2020,5,2,0
950,950,2018,3,3,0
951,951,2020,2,1,1
952,952,2022,3,1,1
953,953,2020,2,4,0
954,954,2018,5,2,1
955,955,2021,3,3,0
956,956,2018,5,2,0
957,957,2018,3,4,0
958,958,2022,1,1,0
959,959,2019,1,4,0
960,960,2018,3,4,0
961,961,2022,3,4,0
962,962,2021,5,4,0
963,963,2022,4,4,1
964,964,2022,3,4,0
965,965,2020,2,4,1
966,966,2019,2,1,0
967,967,2019,2,1,1
968,968,2023,1,2,0
969,969,2021,5,2,0
970,970,2023,1,3,1
971,971,2022,2,3,0
972,972,2021,3,1,0
973,973,2021,2,1,0
974,974,2019,3,3,0
975,975,2019,5,1,1
976,976,2019,4,3,0
977,977,2018,3,2,1
978,978,2022,1,1,0
979,979,2021,2,1,0
980,980,2022,2,3,0
981,981,2021,2,4,0
982,982,2021,3,4,0
983,983,2023,5,2,0
984,984,2021,3,1,0
985,985,2021,1,1,0
986,986,2020,2,3,0
987,987,2020,3,4,0
988,988,2023,2,4,0
989,989,2018,1,2,0
990,990,2019,4,4,0
991,991,2021,4,4,0
992,992,2022,4,4,0
993,993,2020,2,3,0
994,994,2019,3,4,0
995,995,2018,2,2,0
996,996,2019,5,4,1
997,997,2021,3,2,0
998,998,2019,1,3,0
999,999,2021,4,3,0
1000,1000,2023,3,2,0
